feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
86,105,0,172,94,32,35,1,0,49,0,0,38,27,95,5,27,0,4,165,46,5,0,16,56,115,12,11,18,42,72,54,0,0,46,50,0,33,79,33,3,23,14,72,0,0,0,26,0,9,6,15,13,5,15,1,100,5,3,3,9,0,0,1,0
0,12,1,103,118,128,1,147,2,162,0,48,8,0,0,20,0,5,105,7,1,0,23,4,164,0,4,0,1,129,5,0,0,94,0,6,158,19,0,74,87,1,173,36,46,0,4,0,14,174,89,36,66,0,77,15,0,106,23,0,0,0,0,7,1
3,20,18,0,89,65,2,36,6,3,100,12,8,83,26,5,2,0,54,0,0,24,2,0,14,2,0,0,46,17,0,9,10,3,54,0,69,9,3,6,3,36,0,0,49,5,0,4,0,6,0,23,32,21,9,3,0,0,0,97,13,2,6,5,1
18,49,7,0,0,6,0,196,161,15,79,14,14,0,0,13,105,0,70,6,0,11,19,24,0,0,119,12,4,5,2,0,11,0,92,24,0,3,0,0,16,0,59,8,5,0,0,141,0,23,47,19,0,1,62,0,0,68,13,22,5,0,14,9,0
128,94,117,11,117,27,0,20,25,0,18,3,1,161,171,46,111,22,0,0,16,78,128,128,0,86,8,185,24,18,8,0,0,2,14,0,14,0,0,11,90,0,0,106,0,0,36,0,37,103,131,0,0,33,62,4,0,23,51,101,16,71,0,17,1
63,0,141,88,20,5,12,13,1,115,21,0,75,127,77,37,4,105,4,0,14,28,56,100,96,39,1,0,167,0,128,20,49,1,0,151,0,118,0,1,61,17,175,0,104,0,0,12,0,3,0,73,0,215,0,151,0,87,40,0,86,129,19,3,0
0,0,0,23,0,0,8,57,82,67,0,62,1,0,1,11,0,1,56,12,21,36,59,7,1,0,26,4,19,9,117,15,41,84,18,71,0,30,40,0,0,58,0,64,0,0,5,2,113,59,17,0,0,0,0,0,51,19,13,0,0,0,37,0,0
5,3,81,72,74,55,0,226,0,24,105,128,9,0,20,24,1,1,7,0,4,46,18,0,3,0,0,12,40,40,30,174,0,7,99,0,56,3,182,0,0,0,0,95,0,167,0,0,0,73,15,14,107,53,0,114,0,126,46,180,26,0,19,0,1
9,8,15,41,0,11,29,57,13,0,0,126,18,11,9,10,83,7,95,48,3,31,0,3,102,7,62,2,1,47,0,0,102,0,82,134,31,3,0,68,22,45,15,93,0,2,82,34,4,46,17,0,3,64,0,34,2,39,83,0,0,49,4,11,0
24,122,0,0,0,182,18,7,1,5,127,18,0,7,1,50,22,43,0,18,2,0,4,0,0,7,18,8,20,1,0,2,0,0,0,0,48,4,2,11,0,66,1,38,48,15,4,0,0,82,0,81,18,0,0,117,0,59,40,13,3,0,0,114,1
11,58,0,7,74,149,64,107,77,2,8,29,3,19,3,17,3,81,50,91,6,66,195,1,8,0,0,101,1,6,2,0,7,2,1,32,54,2,125,7,2,12,30,61,188,1,2,1,3,7,68,1,0,0,4,0,44,18,0,153,234,31,4,0,0
94,118,94,10,4,56,52,8,16,0,10,95,31,138,8,0,141,50,13,1,43,14,53,22,113,1,7,30,0,120,0,6,11,3,80,2,28,0,0,65,6,205,0,0,18,13,0,23,0,2,0,25,0,0,4,49,3,0,11,0,0,29,59,26,1
0,15,9,30,2,0,62,15,2,2,0,2,19,1,23,48,0,4,2,8,0,17,0,54,4,3,0,0,7,22,81,1,14,0,17,12,33,67,48,13,0,2,0,28,9,41,24,2,0,3,65,8,15,14,3,0,0,71,13,4,3,9,6,1,0
0,23,20,8,102,96,0,0,56,27,2,20,201,9,0,14,0,28,7,0,30,1,16,1,0,4,32,2,9,25,0,0,70,15,33,0,26,0,18,102,1,23,1,15,0,0,14,38,1,6,5,15,0,0,109,0,3,4,26,0,13,0,0,13,1
6,0,12,39,44,5,16,32,38,25,0,5,2,17,0,0,18,6,0,0,2,14,2,155,10,3,0,0,0,31,38,43,17,11,0,10,6,78,0,0,106,0,66,0,28,28,1,57,0,1,92,2,0,0,1,0,8,5,35,0,9,0,107,5,0
2,6,0,0,0,6,23,28,15,26,0,0,1,0,26,16,71,4,0,10,0,0,0,65,1,5,3,4,0,11,88,19,0,128,88,2,32,9,0,0,1,218,0,0,9,38,59,146,9,0,0,4,86,30,0,103,74,0,49,2,75,6,67,23,0
35,0,2,1,1,2,4,4,0,12,1,5,2,7,0,1,4,6,26,1,4,1,1,3,2,1,0,8,6,1,0,3,15,32,14,5,21,3,2,1,4,22,3,2,4,48,0,0,11,7,1,1,4,5,24,0,29,2,10,0,1,0,9,29,0
13,95,0,1,1,0,0,6,1,25,8,0,6,1,0,3,55,12,0,9,4,14,1,17,21,5,4,7,108,3,23,13,16,10,69,1,2,0,12,16,3,26,1,0,29,7,4,18,1,123,9,6,17,22,148,17,5,114,16,0,0,2,2,1,0
85,59,89,122,3,9,60,22,3,3,0,3,3,6,12,2,0,5,0,1,7,0,51,1,8,19,13,11,9,11,0,22,55,0,4,3,0,0,27,21,37,13,0,47,125,0,32,20,1,13,15,35,1,31,15,26,0,13,14,5,0,29,4,0,0
1,5,1,1,3,0,2,2,4,0,14,6,23,0,10,2,2,0,1,25,0,0,2,73,2,3,4,1,0,4,20,0,7,20,56,0,36,14,81,127,10,2,0,0,0,15,59,4,20,0,24,74,97,30,3,42,91,0,201,5,7,159,32,16,0
102,0,188,8,10,8,0,7,8,101,157,45,91,28,12,4,1,82,127,65,53,25,125,109,12,24,125,12,97,15,1,33,0,4,12,35,4,0,0,114,0,10,0,95,0,3,0,7,0,122,1,0,0,34,14,16,10,74,17,0,47,11,98,18,0
